Naalehu,19.066844
Pahala,19.207898
Hawaii National,19.431103
Captain Cook,19.438604
Honaunau,19.44845
Volcano,19.480066
Pahoa,19.508901
Kealakekua,19.526149
Mountain View,19.550587
Kurtistown,19.570637
Keaau,19.589277
Holualoa,19.610316
Kailua Kona,19.653053
Hilo,19.702522
Papaikou,19.791643
Pepeekeo,19.835283
Honomu,19.872767
Hakalau,19.888217
Ninole,19.904436
Papaaloa,19.904835
Laupahoehoe,19.980194
Kamuela,20.008128
Ookala,20.011887
Paauilo,20.027119
Paauhau,20.027748
Honokaa,20.08266
Kapaau,20.218323
Hawi,20.238021
Kihei,20.744124
Kula,20.753353
Hana,20.761635
Lanai City,20.829323
Makawao,20.846932
Kahului,20.881388
Wailuku,20.896586
Haiku,20.907097
Paia,20.91539
Lahaina,20.917432
Kaunakakai,21.090504
Maunaloa,21.142202
Kualapuu,21.160097
Hoolehua,21.173025
Kalaupapa,21.19289
Honolulu,21.281084
Honolulu,21.288677
Honolulu,21.292811
Honolulu,21.294139
Honolulu,21.298684
Honolulu,21.299846
Honolulu,21.311704
Honolulu,21.317905
Ewa Beach,21.327418
Honolulu,21.329452
Waimanalo,21.341786
Kapolei,21.345284
Honolulu,21.34877
Honolulu,21.353173
Aiea,21.390795
Waipahu,21.398203
Kailua,21.406262
Pearl City,21.408393
Kaneohe,21.422819
Waianae,21.435192
Mililani,21.45311
Wahiawa,21.500596
Kaaawa,21.56737
Waialua,21.576623
Hauula,21.61395
Haleiwa,21.631151
Laie,21.659513
Koloa,21.908293
Hanapepe,21.915644
Kaumakani,21.921329
Eleele,21.923017
Makaweli,21.927639
Waimea,21.968487
Kekaha,21.973509
Lihue,21.981618
Kapaa,22.086798
Princeville,22.215948
Naval Air Statio,24.565313
Summerland Key,24.655322
Big Pine Key,24.679996
Marathon,24.727919
Islamorada,24.923331
Tavernier,25.010788
Ocean Reef,25.140214
Florida City,25.396332
Homestead,25.457338
Homestead,25.476639
Homestead,25.490576
Homestead Air Fo,25.499088
Princeton,25.521191
Homestead,25.532314
Quail Heights,25.558847
Quail Heights,25.560935
Quail Heights,25.57431
Quail Heights,25.593255
Quail Heights,25.597112
Perrine,25.604384
Miami,25.636433
Miami,25.657449
Miami,25.661502
Kendall,25.66767
Miami,25.669437
Key Biscayne,25.692104
Miami,25.696365
Miami,25.699242
Miami,25.699977
South Miami,25.700252
